Gene	ZT2-Rep1	ZT6-Rep1	ZT10-Rep1	ZT14-Rep1	ZT18-Rep1	ZT22-Rep1	ZT2-Rep2	ZT6-Rep2	ZT10-Rep2	ZT14-Rep2	ZT18-Rep2	ZT22-Rep2	ZT2-Rep3	ZT6-Rep3	ZT10-Rep3	ZT14-Rep3	ZT18-Rep3	ZT22-Rep3
AT1G06620	6.24576	8.31522	9.37715	9.20464	12.4646	7.00226	5.46176	6.39485	8.92003	7.82546	11.4459	8.41005	7.00984	8.41932	7.78526	7.28412	10.4365	6.94699
AT3G27910	0	0	0	0	0	0	0	0	0	0	0.138115	0	0.183039	0	0	0	0	0
AT4G22890	385.995	601.155	419.992	403.365	362.598	323.711	515.267	585.71	394.584	414.048	364.712	329.206	509.629	588.131	416.574	446.106	378.843	344.09
AT2G45660	20.8276	34.127	23.4874	19.7482	17.8454	23.6842	31.6754	34.5668	24.1542	15.0352	24.0801	18.6928	26.3545	36.6503	24.9957	19.0307	15.9899	19.1088
AT2G34630	28.3382	26.0844	26.917	31.2499	28.5423	26.7635	36.1811	23.9668	23.6399	30.965	27.4856	31.5434	33.8714	24.8012	28.2491	27.7582	29.5577	32.2149
AT2G03270	5.98468	3.83332	4.21898	3.84046	6.38977	7.27952	4.71903	4.6765	4.64016	4.26791	6.88162	7.80847	4.50563	3.81899	4.9539	3.46553	5.25791	6.88141
AT2G25590	4.81377	7.11416	9.10912	7.0801	8.95835	11.5987	5.9055	6.97429	6.63759	6.61555	9.10822	10.3335	6.4516	6.37836	7.50184	8.99475	9.09009	12.5282
AT1G43171	0	0	0	0	0.0930019	0.0737264	0	0	0	0	0	0	0	0	0.067219	0	0	0
AT5G25130	11.7954	7.72221	5.18824	7.08102	3.50215	5.36594	10.3564	6.12606	5.85794	5.91969	3.66925	5.04332	8.66094	4.87511	4.62481	5.56873	3.75842	5.62631
AT2G32280	1.88056	5.69704	8.21766	10.3239	8.61537	4.68012	2.50576	7.11794	9.60269	12.7231	8.99193	5.69036	2.34158	5.83089	11.7295	8.38749	7.42216	5.30996
AT3G15020	17.3697	26.8679	31.5333	36.8743	29.8213	26.5826	19.2218	30.9823	30.1708	39.2235	29.0597	24.4294	20.8192	28.0276	34.6209	36.8397	28.8062	23.017
AT5G61100	0	0	0	0	0	0	0	0.194119	0	0	0	0	0	0.219061	0	0	0	0
AT5G01650	118.354	113.555	98.4507	185.672	155.045	155.625	119.057	96.472	105.843	145.736	159.27	163.75	122.059	102.462	102.191	164.828	154.421	156.607
AT5G05570	4.86122	8.1615	9.63205	7.27048	8.23203	7.17778	7.52009	8.61609	8.54286	8.7709	7.81664	7.0373	8.24028	8.09282	8.86345	7.19538	7.15132	7.7098
AT3G09770	34.5391	26.0798	29.8193	30.7484	32.1448	34.3483	34.916	31.1768	28.408	27.488	32.3316	34.9683	37.8794	30.1453	25.5087	29.384	31.4308	37.0911
AT3G10210	14.7827	16.4156	18.6451	22.7133	20.9372	18.759	14.8217	17.0023	17.5121	16.087	22.2456	18.1913	15.4447	18.5548	15.6191	19.8279	19.2964	19.2825
AT5G06000	5.28869	2.77742	4.04507	5.66707	4.06868	3.39906	5.71112	3.64841	5.35639	4.60796	4.67964	5.41776	5.47259	2.93425	4.24053	4.45942	4.37999	3.81093
