Gene	control.Rep1	control.Rep2	control.Rep3	control.Rep4	heat.Rep1	heat.Rep2	heat.Rep3	heat.Rep4	drought.Rep1	drought.Rep2	drought.Rep3	drought.Rep4
AT1G70090	0	-0.45711994	-0.107141495	-0.17021847	0.667984	0.3467455	0.6661711	0.89816666	0.60871124	1.1607704	1.2672539	1.1154642
AT4G14130	-0.5549426	-0.34111166	-0.24451065	-0.28520298	0.11327839	-0.055160046	-0.1391964	-0.010093689	0.33751917	0.816051	0.73277044	1.2524333
AT1G02380	0.16242123	-0.108567715	-0.02327919	0.15048838	-0.12588406	-0.19083023	0	0.469707	1.5144191	1.8264823	1.9620996	1.8054929
AT3G11402	-0.31209993	-0.5685139	-0.549479	0.052672863	-1.49475	-1.0343156	-0.8782501	0.133564	0.57329226	0.40597677	0.84786797	1.039846
AT2G47440	0.51364326	0.08705807	0.12150574	0.15840626	-0.3366661	-0.20998955	0.058650017	0.7860508	1.9536905	2.1051188	2.037384	1.7209444
AT4G02540	-0.03909588	0.035354614	0.05963421	0.03406048	-0.2802086	-0.41957474	-0.08599377	0.3100624	0.86668015	1.1185455	1.4363232	1.2224579
AT1G72000	-0.32600927	0	-0.9971461	0.35296106	-1.7101016	-2.4525533	-1.4284291	-0.30321264	1.6649814	1.6192722	2.966838	0.49528074
AT4G25200	-7.0565395	-6.1071854	-7.0658255	-5.9115744	1.1974182	0.689291	0.54984474	0	-7.455412	-7.633066	-5.451625	-5.848683
AT1G53540	-8.030145	-7.148546	-6.850048	-6.7734423	0.39765453	0	0.0788784	0.1864109	-7.697896	-7.2008677	-7.1760635	-7.1525135
AT4G10250	-6.274171	-5.219636	-6.4940414	-5.0381284	0.44764042	0	0.33275604	0.14536762	-6.537282	-6.8566713	-5.8498945	-6.1911736
AT1G72660	-6.308115	-7.190766	-8.395522	-6.9388466	0.5483694	0.3240738	0.03242016	0	-7.239327	-8.311215	-7.1865377	-6.680572
